City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2022-07-10 01:34:55,22.8909,-109.9124,92.5,43,40,13.8
1,Rikitea,PF,2022-07-10 01:39:50,-23.1203,-134.9692,73.78,77,20,9.95
2,Russell,US,2022-07-10 01:39:50,32.3502,-85.1999,76.6,94,0,0.0
3,Kodiak,US,2022-07-10 01:36:32,57.79,-152.4072,56.71,77,100,11.5
4,New Norfolk,AU,2022-07-10 01:39:51,-42.7826,147.0587,51.93,84,4,3.4
5,Brewster,US,2022-07-10 01:39:51,41.3973,-73.6171,74.73,57,0,4.61
6,Haines Junction,CA,2022-07-10 01:39:51,60.7522,-137.5108,67.95,40,70,12.66
7,Norman Wells,CA,2022-07-10 01:39:52,65.282,-126.8329,80.64,36,75,12.66
8,Lompoc,US,2022-07-10 01:39:52,34.6391,-120.4579,75.34,77,0,23.0
9,Mataura,NZ,2022-07-10 01:39:52,-46.1927,168.8643,46.47,64,11,1.74
10,Sovetskiy,RU,2022-07-10 01:39:53,61.3614,63.5842,71.44,59,6,2.37
11,Port Alfred,ZA,2022-07-10 01:39:53,-33.5906,26.891,62.19,77,3,8.99
12,Hobart,AU,2022-07-10 01:39:53,-42.8794,147.3294,52.27,75,75,6.91
13,Noyabrsk,RU,2022-07-10 01:39:54,63.1994,75.4507,64.83,62,17,5.75
14,Lekoni,GA,2022-07-10 01:39:54,-1.5843,14.2591,74.1,57,74,4.85
15,Bouloupari,NC,2022-07-10 01:39:54,-21.8667,166.05,84.11,61,100,9.84
16,Turbat,PK,2022-07-10 01:39:55,26.0023,63.044,83.55,82,33,2.89
17,Sambava,MG,2022-07-10 01:39:55,-14.2667,50.1667,68.95,85,71,12.1
18,Vila Franca Do Campo,PT,2022-07-10 01:39:55,37.7167,-25.4333,68.2,85,10,5.99
19,Mount Isa,AU,2022-07-10 01:39:56,-20.7333,139.5,62.37,31,0,11.5
20,Chokurdakh,RU,2022-07-10 01:39:56,70.6333,147.9167,63.79,34,5,10.22
21,Tura,IN,2022-07-10 01:39:57,25.5198,90.2201,81.75,76,12,3.96
22,Talnakh,RU,2022-07-10 01:39:57,69.4865,88.3972,47.21,66,39,16.53
23,Srednekolymsk,RU,2022-07-10 01:39:41,67.45,153.6833,61.47,39,63,4.85
24,Atuona,PF,2022-07-10 01:39:57,-9.8,-139.0333,77.7,76,7,18.23
25,Bluff,NZ,2022-07-10 01:39:58,-46.6,168.3333,46.8,67,36,3.65
26,Praia Da Vitoria,PT,2022-07-10 01:39:58,38.7333,-27.0667,66.76,94,75,7.96
27,Ancud,CL,2022-07-10 01:39:58,-41.8697,-73.8203,45.23,87,99,11.52
28,Hay River,CA,2022-07-10 01:39:15,60.8156,-115.7999,58.98,88,100,5.75
29,Yellowknife,CA,2022-07-10 01:37:58,62.456,-114.3525,73.92,56,75,3.44
30,Santa Engracia,ES,2022-07-10 01:39:59,41.9406,-1.3245,73.98,57,0,7.58
31,Albany,US,2022-07-10 01:36:35,42.6001,-73.9662,64.92,75,4,5.1
32,East London,ZA,2022-07-10 01:39:59,-33.0153,27.9116,68.29,58,0,18.9
33,Lagos,NG,2022-07-10 01:35:04,6.5833,3.75,75.52,97,100,3.22
